Team,PPP,eFG,ORebRate,TovRate,FTr,ThreeRate,BlkRate,AstRate,AstTo,dPPP,deFG,DRebRate,dTovRate,dFTr,dThreeRate,dBlkRate,dAstRate
Abilene Christian,1.013,49.2,25.5,17.3,32.3,33.39920949,5.736782902,58.18181818,1.22,1.062,56.5,28.6,23.3,45.6,33.55754858,8.209693373,52.45901639
Air Force,1.04,54.2,22.3,19,31.2,44.80440098,11.02430556,64.94708995,1.25,1.044,49.3,28.6,17.1,35.2,32.94528522,10.96345515,42.27748691
Akron,1.097,51.9,29.8,16.6,33.6,43.85176867,7.117750439,51.20711563,1.16,1.012,49.7,26.5,17.8,28.1,35.37762635,9.4,46.47519582
Alabama,1.107,52.1,34.2,18.7,36.6,47.23422645,11.30382775,54.25219941,1.08,0.918,41.3,27.9,15.8,32.6,29.95391705,11.62981163,41.1299435
Alabama A&M,0.967,48.6,29.5,21.4,35.8,32.68436578,11.93580742,49.79367263,0.81,1.008,49.4,33.9,21.4,41.8,39.90355636,9.728308501,53.38983051
Alabama St.,0.919,42.3,31.8,18.9,31.2,33.12464428,9.027777778,44.64831804,0.76,1.06,49.7,34.6,17.8,34.5,34.69387755,12.34042553,45.98445596
Albany,0.976,47.3,27.8,19.2,31,41.19439366,4.351939451,48.95209581,0.87,1.123,55.3,26.7,16.6,36.8,34.10224439,10.88082902,53.79746835
Alcorn St.,0.984,45.2,33.7,18.3,35.3,29.65738758,7.766990291,41.02228047,0.78,1.026,51.4,31.4,21,39.3,40.8045977,8.295281583,58.68725869
American,1.03,54.4,28.3,22,27.9,36.13496933,11.41304348,55.54140127,0.97,1.037,51.8,27.9,19.2,32.1,33.69369369,7.204610951,52.25464191
Appalachian St.,0.992,48.7,24.5,16.3,29.3,38.31089351,12.41578441,49.06204906,1.09,0.999,47.9,28.8,17.1,24.8,38.33827893,7.242063492,50.78683834
Arizona,1.123,56.5,30.7,18.4,35.8,37.69305019,8.100147275,64.71163245,1.41,0.979,47.1,26.1,16.9,25.5,38.71841155,9.45003873,48.95027624
Arizona St.,1.023,48.4,29.2,16.8,31.2,39.34350439,13.30203443,56.59340659,1.22,0.976,46.5,31.5,20.1,33.5,39.02671756,8.155487805,54.784689
Arkansas,1.051,50.9,30.7,18.1,39.3,27.72661173,13.11239193,48.07492196,1.02,0.965,47.2,27.9,20.5,39.5,30.46092184,6.908115359,45.10035419
Arkansas Pine Bluff,0.914,45.2,26.6,21.6,33.8,43.35526316,7.211028632,54.10958904,0.76,1.025,51.4,29,21.4,43.2,35.71915474,11.14982578,60.03016591
Arkansas St.,0.988,47.6,28.8,18.1,35.1,33.47853143,8.752327747,53.125,1.02,1.061,50.3,28,16.6,34.8,33.82624769,9.260991581,48.88268156
Army,1.043,53.8,25.4,19.1,31.3,37.89473684,5.913978495,47.95539033,0.96,1.033,51.4,24.2,15.6,28.5,37.86191537,9.510357815,52.4691358
Auburn,1.055,49.5,32.8,17.7,36.3,35.20843797,13.5753749,54.74285714,1.16,0.983,45.7,32.4,18.9,38.9,34.48810755,9.147286822,48.22335025
Austin Peay,0.962,46.3,26,17.4,26.1,38.5292269,8.753861998,50.54602184,1.01,1.104,54.7,31.8,19.4,37,35.13694055,7.770961145,53.84615385
BYU,1.096,53,30.5,17.8,42.3,39.45541911,11.31059246,53.31753555,0.99,1.06,51,28.4,16.7,31.3,37.86949247,7.671957672,50.25906736
Ball St.,1.132,53.2,34.4,17.9,36.8,36.79471789,9.176672384,49.61038961,1.04,1.038,51.6,30.9,19.9,31.3,33.2187858,7.407407407,37.48395379
Baylor,1.007,51.7,20.6,18.2,25.4,44.86458866,6.937394247,54.88636364,1.17,1.104,54.7,28.1,17.7,31.8,37.85488959,8.989805375,59.9537037
Bellarmine,1.096,55.3,25.4,16.8,24.3,43.15245478,4.900662252,56.21387283,1.13,1.04,51.1,30,17.7,29.2,52.03303685,6.931818182,58.98876404
Bethune Cookman,1,49.5,28.7,19.4,28.2,33.00859599,6.862745098,46.61971831,0.86,1.074,50.5,27.4,15.1,35.4,35.99543639,9.324208725,52.77435265
Binghamton,1.06,51.6,27.2,16.6,30.3,30.0669507,8.108108108,45.09536785,0.87,0.963,47.5,24,17.5,27.6,35.24441762,7.74586597,42.08389716
Boise St.,0.992,48.7,27.6,18.2,27.3,37.78605641,7.928388747,43.48341232,0.99,1.047,51.5,28.4,18.3,27.6,37.44,9.153122327,45.65217391
Boston College,0.989,47,28.7,17.9,29,31.48345784,10.29023747,50.42735043,1.02,1.012,50.5,24.5,18.3,36.5,39.58554729,8.489096573,48.97959184
Boston University,1.047,50.5,29.8,17.5,32.5,38.71693866,7.242063492,43.29183956,0.85,1.112,54.1,28,16.3,33.6,39.31366647,10.83562902,49.58791209
Bowling Green,1.056,52.7,29.2,17.9,26.9,35.5134825,8.025830258,49.41935484,1.06,0.95,46.7,23.8,18.9,32.1,37.34104046,9.252669039,51.46699267
Bradley,0.99,50.7,25.3,19,29.8,39.28571429,11.79624665,50.84745763,1.12,0.985,51.2,23.7,19.7,26.9,38.48268279,7.075873828,48.84667571
Brown,1.055,51.9,29,18.7,32.8,39.94861914,8.969072165,54.54545455,1.04,1.039,50,25.2,15.7,31.8,37.05386113,8.770053476,47.16981132
Bryant,0.994,51.3,25.4,20.2,26.9,39.10179641,8.848715509,46.3060686,0.92,1.036,51.2,25,15.4,27.7,39.03712297,8.554572271,55.55555556
Bucknell,1.024,49.5,32.2,19.2,32,36.98630137,9.894921191,53.50993377,0.97,1.067,52.5,29.1,18.4,36.6,35.84269663,9.451795841,55.52763819
Buffalo,0.969,49.5,20,17.6,25.9,33.99677246,8.027327071,50.3649635,0.97,1.014,50.1,30.3,18.6,22.6,35.33959139,8.47595762,52.14797136
Butler,1.048,51.5,31.7,20.2,32.5,35.82342954,11.03117506,52.26977951,1.06,0.989,49.5,24.3,18.6,37.8,33.24439701,9.259259259,52.50596659
Cal Baptist,1.012,49,28.9,18.1,31.6,43.54561102,7.776838546,55.54035568,1.1,0.996,47.6,26.1,16,29.3,32.6309795,8.536585366,46.26666667
Cal Poly,0.915,45.7,24.5,20.9,30.9,35.92777086,7.389162562,47.07692308,0.73,1.024,50.4,24.5,18.6,42.3,35.14376997,9.037900875,50.57803468
Cal St. Bakersfield,0.92,44.6,27.5,19.9,29.4,24.62098241,9.775280899,47.09388972,0.81,1.026,51.1,28.3,20.6,43.6,42.05729167,6.114239743,53.86904762
Cal St. Fullerton,1.015,49.4,25.9,17.4,38.7,37.52969121,7.521697203,43.0362117,0.85,0.982,48.6,29.4,20.5,33.4,39.07168038,8.745247148,49.65325936
Cal St. Northridge,0.932,44.1,27.3,19.6,36.6,32.93601004,9.4,43.31723027,0.7,1.064,50.5,30.5,18,39,38.00371978,7.951356408,54.37853107
California,0.9,43.7,25.3,20.1,31.5,30.93270366,9.149130833,46.52567976,0.74,1.082,51.6,30.4,16,32.6,38.31828442,11.11111111,51.56054931
