"Date","Home","Home_Score","Away","Away_Score","Game_ID","Box_ID","isNeutral","Detail","conf"
"2022-11-30","Indiana St.","75","Drake","73","5371824","2339085",FALSE,NA,TRUE
"2022-12-03","Drake","77","UIC","64","5373800","2339406",FALSE,NA,TRUE
"2022-12-29","Drake","68","Valparaiso","63","5381518","2341973",FALSE,NA,TRUE
"2023-01-01","Missouri St.","52","Drake","49","5382666","2342565",FALSE,NA,TRUE
"2023-01-04","Southern Ill.","53","Drake","49","5383799","2342856",FALSE,NA,TRUE
"2023-01-07","Drake","82","Murray St.","64","5385824","2343244",FALSE,NA,TRUE
"2023-01-10","UIC","71","Drake","76","5386786","2343750",FALSE,"1 OT",TRUE
"2023-01-14","Drake","86","Bradley","61","5389292","2344289",FALSE,NA,TRUE
"2023-01-18","Drake","62","Missouri St.","65","5390755","2344921",FALSE,"1 OT",TRUE
"2023-01-21","Evansville","61","Drake","97","5392461","2345360",FALSE,NA,TRUE
"2023-01-24","Drake","70","Indiana St.","68","5393657","2345904",FALSE,NA,TRUE
"2023-01-29","Belmont","61","Drake","79","5396596","2346864",FALSE,NA,TRUE
"2023-02-01","Drake","88","UNI","81","5397800","2347207",FALSE,"2 OT",TRUE
"2023-02-04","Valparaiso","82","Drake","85","5400268","2347463",FALSE,"2 OT",TRUE
"2023-02-07","Murray St.","68","Drake","92","5401593","2347982",FALSE,NA,TRUE
"2023-02-11","Drake","82","Southern Ill.","59","5404284","2348510",FALSE,NA,TRUE
"2023-02-15","UNI","74","Drake","82","5407975","2349287",FALSE,NA,TRUE
"2023-02-19","Drake","70","Belmont","56","5412830","2349947",FALSE,NA,TRUE
"2023-02-22","Drake","82","Illinois St.","51","5415546","2350053",FALSE,NA,TRUE
"2023-02-26","Bradley","73","Drake","61","5420560","2350527",FALSE,NA,TRUE
"2023-03-03","Drake","74","Murray St.","62","5480627","2421192",TRUE,NA,TRUE
"2023-03-04","Drake","65","Southern Ill.","52","5426495","2421190",TRUE,NA,TRUE
"2023-03-05","Drake","77","Bradley","51","5427783","2421188",TRUE,NA,TRUE
"2022-11-30","Bradley","68","UNI","53","5371675","2339074",FALSE,NA,TRUE
"2022-12-03","Missouri St.","40","Bradley","58","5373903","2339390",FALSE,NA,TRUE
