Outcome,X,Y,Player,Ast,Contest,Distance,Value,Date
Miss,-24.84,0.28,Jabez Jenkins,Assisted,Contested,16.91,2,5/30/24
Make,-41.57,-1.9,Brigham Rogers,Assisted,Contested,1.91,2,5/30/24
Make,-42.48,-22.99,Brody Peebles,Assisted,Uncontested,23.01,3,5/30/24
Make,-42.48,12.46,Jonathan Pierre,Assisted,Contested,12.48,2,5/30/24
Miss,-40.29,-6.27,Brody Peebles,Unassisted,Contested,6.43,2,5/30/24
Make,-41.2,-1.9,Aidan Noyes,Assisted,Uncontested,1.98,2,5/30/24
Miss,-25.36,17.65,Cooper Haynes,Assisted,Uncontested,24.08,3,5/30/24
Miss,-29.38,10.64,Jonathan Pierre,Unassisted,Contested,16.31,2,5/30/24
Miss,-24.27,16.19,Eoin Dillon,Assisted,Uncontested,23.82,3,5/30/24
Make,-23,14.74,Jonathan Pierre,Assisted,Uncontested,23.85,3,5/30/24
Miss,-42.66,23.01,Aidan Noyes,Assisted,Uncontested,23.02,3,5/30/24
Make,-28.48,20.64,Aidan Noyes,Assisted,Uncontested,24.54,3,5/30/24
Miss,-31.75,-3.36,Carter Whitt,Unassisted,Contested,10.55,2,5/30/24
Make,-24.29,-16.63,Aidan Noyes,Assisted,Uncontested,24.11,3,5/30/24
Make,-27.02,-18.81,Cooper Haynes,Assisted,Contested,23.89,3,5/30/24
Make,-28.48,-5.54,Cooper Haynes,Unassisted,Contested,14.38,2,5/30/24
Miss,-41.2,-23.18,Aidan Noyes,Assisted,Uncontested,23.18,3,5/30/24
Miss,-37.2,1.55,Brody Peebles,Unassisted,Contested,4.8,2,5/30/24
Miss,-40.66,-1.9,Drew Scharnowski,Unassisted,Contested,2.19,2,5/30/24
Make,-41.2,1.91,Aidan Noyes,Assisted,Uncontested,1.99,2,5/30/24
Make,-28.48,-10.45,Cooper Haynes,Unassisted,Contested,16.89,2,5/30/24
Miss,-23.2,-14.27,Brody Peebles,Assisted,Uncontested,23.4,3,5/30/24
Make,-25.2,-16.99,Aidan Braccia,Assisted,Uncontested,23.72,3,5/30/24
Miss,-39.38,-0.99,Aidan Braccia,Assisted,Contested,2.57,2,5/30/24
Miss,-22.29,13.01,Brody Peebles,Assisted,Uncontested,23.4,3,5/30/24
Make,-21.2,11.91,Jonathan Pierre,Assisted,Uncontested,23.75,3,5/30/24
Miss,-22.84,-15.54,Cooper Haynes,Unassisted,Contested,24.48,3,5/30/24
Make,-36.66,-0.81,Jonathan Pierre,Assisted,Contested,5.16,2,5/30/24
Make,-21.57,12.64,Aidan Noyes,Assisted,Uncontested,23.82,3,5/30/24
Make,-40.48,-0.09,Aidan Noyes,Unassisted,Uncontested,1.28,2,5/30/24
Make,-38.84,-0.27,Drew Scharnowski,Assisted,Uncontested,2.92,2,5/30/24
Make,-40.84,1.37,Brigham Rogers,Unassisted,Contested,1.64,2,5/30/24
Make,-41.75,-2.81,Brody Peebles,Unassisted,Contested,2.81,2,5/30/24
Make,-26.11,-18.27,Jake Dykstra,Assisted,Uncontested,24.05,3,5/30/24
Miss,-19.57,10.1,Jonathan Pierre,Unassisted,Uncontested,24.37,3,5/30/24
Miss,-17.93,6.82,Aidan Noyes,Assisted,Uncontested,24.78,3,5/30/24
Miss,-27.75,-19.36,Brody Peebles,Assisted,Uncontested,23.89,3,5/30/24
Miss,-36.11,-1.9,Brody Peebles,Unassisted,Contested,5.95,2,5/30/24
Miss,-27.38,19.73,Aidan Braccia,Assisted,Contested,24.41,3,5/30/24
Miss,-32.29,-13.36,Jabez Jenkins,Unassisted,Contested,16.37,2,5/30/24
Make,-39.75,-0.27,Brigham Rogers,Assisted,Contested,2.02,2,5/30/24
Make,-34.84,-0.45,Jake Dykstra,Assisted,Contested,6.93,2,5/30/24
Make,-41.57,1.91,Cooper Haynes,Assisted,Contested,1.92,2,5/30/24
Make,-40.66,0.64,Carter Whitt,Unassisted,Uncontested,1.27,2,5/30/24
Make,-33.75,-0.09,Brody Peebles,Unassisted,Uncontested,8,2,5/30/24
Miss,-24.64,16.92,Eoin Dillon,Assisted,Uncontested,24.06,3,5/30/24
Make,-40.48,0.64,Carter Whitt,Assisted,Uncontested,1.43,2,5/30/24
Make,-41.75,1.73,Brody Peebles,Unassisted,Contested,1.73,2,5/30/24
Miss,-40.84,1.73,Brody Peebles,Assisted,Contested,1.96,2,5/30/24
Make,-31.38,2.82,Eoin Dillon,Unassisted,Contested,10.74,2,5/30/24
Make,-33.2,-0.45,Carter Whitt,Unassisted,Uncontested,8.56,2,5/30/24
Make,-31.2,-21.36,Cooper Haynes,Assisted,Uncontested,23.82,3,5/30/24
Make,-40.84,-2.09,Brody Peebles,Unassisted,Uncontested,2.28,2,5/30/24
Make,-27.38,-19.36,Jake Dykstra,Assisted,Uncontested,24.11,3,5/30/24
Make,-42.29,-23.36,Jabez Jenkins,Assisted,Uncontested,23.36,3,5/30/24
Miss,-27.75,-20.27,Drew Scharnowski,Assisted,Uncontested,24.63,3,5/30/24
Miss,-24.48,-0.63,Aidan Braccia,Unassisted,Uncontested,17.29,2,5/30/24
Make,-24.11,-15.9,Brody Peebles,Assisted,Uncontested,23.75,3,5/30/24
Make,-21.57,12.28,Aidan Noyes,Assisted,Uncontested,23.62,3,5/30/24
Miss,-23.18,15.1,Aidan Noyes,Assisted,Uncontested,23.93,3,5/30/24
Miss,-28.11,-16.27,Aidan Noyes,Unassisted,Uncontested,21.23,2,5/30/24
Miss,-40.48,-1.9,Jonathan Pierre,Unassisted,Contested,2.29,2,5/30/24
Miss,-25.75,19.91,Carter Whitt,Assisted,Contested,25.55,3,5/30/24
Miss,-40.29,2.1,Drew Scharnowski,Assisted,Contested,2.55,2,5/30/24
Make,-17.93,3.01,Cooper Haynes,Unassisted,Uncontested,24.01,3,5/30/24
Miss,-18.66,6.82,Jake Dykstra,Unassisted,Uncontested,24.08,3,5/30/24
Miss,-41.02,-2.09,Brody Peebles,Unassisted,Contested,2.21,2,5/30/24
Miss,-25.02,-0.81,Jonathan Pierre,Unassisted,Contested,16.75,2,5/30/24
Miss,-23.2,-17.18,Brody Peebles,Assisted,Uncontested,25.28,3,5/30/24
Make,-21.02,12.1,Carter Whitt,Assisted,Uncontested,24,3,5/30/24
Miss,-31.2,13.19,Jonathan Pierre,Unassisted,Contested,16.89,2,5/30/24
Miss,-27.02,20.1,Eoin Dillon,Unassisted,Uncontested,24.92,3,5/30/24
Make,-41.57,-23.18,Jabez Jenkins,Assisted,Uncontested,23.18,3,5/30/24
Make,-41.2,-2.45,Jake Dykstra,Assisted,Contested,2.51,2,5/30/24
Miss,-25.2,-1.54,Jabez Jenkins,Unassisted,Contested,16.62,2,5/30/24
Miss,-37.38,-9.36,Carter Whitt,Unassisted,Contested,10.33,2,5/30/24
Make,-36.84,8.64,Cooper Haynes,Assisted,Uncontested,9.94,2,5/30/24
Miss,-38.84,5.37,Carter Whitt,Unassisted,Contested,6.11,2,5/30/24
Make,-41.02,-2.45,Jonathan Pierre,Assisted,Contested,2.56,2,5/30/24
Make,-41.02,-1.9,Drew Scharnowski,Unassisted,Contested,2.04,2,5/30/24
Miss,-25.38,-3.72,Eoin Dillon,Unassisted,Contested,16.78,2,5/30/24
Miss,-28.29,-19.72,Keith Robbins,Assisted,Uncontested,23.87,3,5/30/24
Make,-42.29,23.37,Aidan Noyes,Assisted,Uncontested,23.38,3,5/30/24
Make,-22.11,12.82,Eoin Dillon,Assisted,Uncontested,23.45,3,5/30/24
Miss,-36.66,13.01,Jonathan Pierre,Unassisted,Contested,13.97,2,5/30/24
Miss,-21.2,-11.72,Carter Whitt,Unassisted,Uncontested,23.66,3,5/30/24
Make,-41.2,-1.72,Drew Scharnowski,Assisted,Contested,1.81,2,5/30/24
Make,-27.93,-19.9,Aidan Noyes,Assisted,Uncontested,24.23,3,5/30/24
Miss,-22.29,-13.54,Aidan Braccia,Unassisted,Uncontested,23.7,3,5/30/24
Make,-41.38,-23.18,Jonathan Pierre,Assisted,Uncontested,23.18,3,5/30/24
Miss,-39.02,-0.63,Jabez Jenkins,Unassisted,Contested,2.8,2,5/30/24
Make,-41.2,2.1,Carter Whitt,Assisted,Contested,2.17,2,5/30/24
Miss,-23.38,-15.54,Keith Robbins,Assisted,Uncontested,24.06,3,5/30/24
